Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginRate;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;VaR_to_Ask_Ratio
AAL;USD;USD;American Airlines Group Inc;2;0.01;1;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;1.173361;10.52;10.53;Industrials;Airlines;0.11143029439696107
ACHC;USD;USD;Acadia Healthcare Co Inc;2;0.01;13;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;1.623575;22.93;23.06;Healthcare;Medical Care Facilities;0.07040654813529923
ADBE;USD;USD;Adobe Inc;2;0.01;42;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;14.29721;384.56;384.98;Technology;Software - Infrastructure;0.037137539612447396
ADI;USD;USD;Analog Devices Inc;2;0.01;45;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;16.708368;196.04;196.49;Technology;Semiconductors;0.0850341900351163
ADP;USD;USD;Automatic Data Processing Inc;2;0.01;54;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;10.333314;303.15;303.68;Industrials;Staffing & Employment Services;0.03402698234984194
ADSK;USD;USD;Autodesk Inc;2;0.01;173;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;12.455933;279.48;281.21;Technology;Software - Application;0.044294061377618155
AKAM;USD;USD;Akamai Technologies Inc;2;0.01;15;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;4.674533;83.13;83.28;Technology;Software - Infrastructure;0.05613031940441883
ALGN;USD;USD;Align Technology Inc;2;0.01;42;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;12.056007;178.05;178.47;Healthcare;Medical Devices;0.06755200874096487
ALNY;USD;USD;Alnylam Pharmaceuticals Inc;2;0.01;317;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;16.31324;271.14;274.31;Healthcare;Biotechnology;0.05947008858590646
AMAT;USD;USD;Applied Materials Inc;2;0.01;20;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;11.960769;153.35;153.55;Technology;Semiconductor Equipment & Materials;0.07789494627157277
