Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginRate;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;VaR_to_Ask_Ratio
AAL;USD;USD;American Airlines Group Inc;2;0.01;1;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;0.809756;16.7;16.71;Industrials;Airlines;0.04845936564931179
ACHC;USD;USD;Acadia Healthcare Co Inc;2;0.01;14;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;1.982924;44.69;44.83;Healthcare;Medical Care Facilities;0.04423207673432969
ADBE;USD;USD;Adobe Inc;2;0.01;50;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;10.121026;438.55;439.05;Technology;Software - Infrastructure;0.023052103405079148
ADI;USD;USD;Analog Devices Inc;2;0.01;3;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;6.557031;205.52;205.55;Technology;Semiconductors;0.03189993189005108
ADP;USD;USD;Automatic Data Processing Inc;2;0.01;16;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;4.491755;307.4;307.56;Industrials;Staffing & Employment Services;0.014604483677981533
ADSK;USD;USD;Autodesk Inc;2;0.01;18;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;8.164585;306.27;306.45;Technology;Software - Application;0.026642470223527497
AKAM;USD;USD;Akamai Technologies Inc;2;0.01;9;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;2.80002;98.01;98.1;Technology;Software - Infrastructure;0.02854250764525994
ALGN;USD;USD;Align Technology Inc;2;0.01;85;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;6.784886;215.46;216.31;Healthcare;Medical Devices;0.031366492533863435
ALNY;USD;USD;Alnylam Pharmaceuticals Inc;2;0.01;84;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;15.57472;274.15;274.99;Healthcare;Biotechnology;0.05663740499654532
AMAT;USD;USD;Applied Materials Inc;2;0.01;5;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;8.249034;178.99;179.04;Technology;Semiconductor Equipment & Materials;0.04607369302949062
AMD;USD;USD;Advanced Micro Devices Inc;2;0.01;3;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;5.295342;114.36;114.39;Technology;Semiconductors;0.04629200104904275
AMED;USD;USD;Amedisys Inc;2;0.01;31;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;0.439385;92.17;92.48;Healthcare;Medical Care Facilities;0.004751135380622837
AMGN;USD;USD;Amgen Inc;2;0.01;23;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;5.847199;288.82;289.05;Healthcare;Drugs Manufacturers - General;0.02022902266043937
AMKR;USD;USD;Amkor Technology Inc;2;0.01;1;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;0.914417;23.98;23.99;Technology;Semiconductors;0.03811659024593581
AMZN;USD;USD;Amazon.com Inc;2;0.01;5;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;5.49976;237.72;237.77;Consumer Cyclical;Internet Retail;0.02313058838373218
ANSS;USD;USD;ANSYS Inc;2;0.01;64;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;7.919109;346.54;347.18;Technology;Software - Application;0.02280980759260326
APA;USD;USD;APA Corp;2;0.01;1;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;0.638748;21.44;21.45;Energy;Oil & Gas E&P;0.02977846153846154
APLS;USD;USD;Apellis Pharmaceuticals Inc;2;0.01;7;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;0;5;0.0;2.179961;28.53;28.6;Healthcare;Biotechnology;0.07622241258741258
