Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginRate;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;VaR_to_Ask_Ratio
BZ_Q;USD;USD;Brent Crude Oil August;2;0.01;2;0.01;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;2035.005909;70.24;70.26;Commodities;Commodities - Energy;28.963932664389407
CL_N;USD;USD;Light Sweet Crude July;2;0.01;2;0.01;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;2086.348061;68.85;68.87;Commodities;Commodities - Energy;30.29400408015101
CL_Q;USD;USD;Light Sweet Crude August;2;0.01;2;0.01;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;2024.851565;67.44;67.46;Commodities;Commodities - Energy;30.015587978061074
ES_M;USD;USD;E-Mini S&P 500 June;2;0.01;25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;3450.580428;6042.5;6042.75;Indexes;Utilities - Regulated Electric;0.571028162343304
ES_U;USD;USD;E-Mini S&P 500 September;2;0.01;50;0.25;12.5;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;3479.719061;6096.0;6096.5;Indexes;Utilities - Regulated Electric;0.5707732405478553
GC_Q;USD;USD;Gold August;1;0.1;3;0.1;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;6888.581032;3406.4;3406.7;Commodities;Undefined;2.0220685801508793
HE_N;USD;USD;Lean Hogs July;3;0.001;50;0.025;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;676.415242;108.85;108.9;Utilities;Utilities - Diversified;6.21134290174472
HG_N;USD;USD;Copper July;4;0.0001;10;0.0005;12.5;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;3150.239664;4.842;4.843;Commodities;Commodities - Precious;650.4727780301466
HO_N;USD;USD;Heating Oil July;4;0.0001;8;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;2252.02896;2.2091;2.2099;Commodities;Undefined;1019.0637404407439
KE_N;USD;USD;Hard Red Wheat July;2;0.01;25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;630.61401;522.5;522.75;Commodities;Commodities - Agricultural;1.2063395695839312
LE_Q;USD;USD;Live Cattle August;3;0.001;25;0.025;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;1201.107972;217.0;217.025;Commodities;Commodities - Agricultural;5.534422172560765
MBT_M;USD;USD;Bitcoin Micro June;0;1.0;50;5.0;0.5;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;367.202513;106285.0;106335.0;Crypto Currency;Undefined;0.0034532610429303615
