Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;VaR_to_Ask_Ratio
EURGBP;EUR;GBP;Euro vs Great Britain Pound ;5;1e-05;2;1e-05;1.34719;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-6.8;2.3;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;484.333387;0.87196;0.87203;Currency;Undefined;0.00345;0.008641;0.018601;555.4090879900921
EURUSD;EUR;USD;Euro vs US Dollar;5;1e-05;3;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-10.3;3.8;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;919.586921;1.17474;1.17476;Currency;Undefined;0.007792;0.01851;0.041244;782.7870552283019
GBPUSD;GBP;USD;Great Britan Pound vs US Dollar;5;1e-05;5;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;GBP;1970.01.01 00:00;1970.01.01 00:00;-5.1;-2.5;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;944.223612;1.34714;1.3472;Currency;Undefined;0.009356;0.02059;0.049542;700.8785718527316
6A_Z;USD;USD;Australian Dollar December;5;1e-05;10;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;2300.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;484.37229;0.66015;0.66025;Currency;Undefined;0.005061;0.011379;0.029532;733.6195229079894
6B_Z;USD;USD;British Pound December;4;0.0001;1;0.0001;6.25;1.0;4;2;1.0;20.0;1.0;2300.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;591.890608;1.3473;1.3474;Currency;Undefined;0.009029;0.0205;0.04945;439.2835149176192
6C_Z;USD;USD;Canadian Dollar December;5;1e-05;5;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;1500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;317.262445;0.7281;0.72815;Currency;Undefined;0.002889;0.007518;0.019743;435.7102863420999
6E_Z;USD;USD;Euro FX December;5;1e-05;5;5e-05;6.25;1.0;4;2;1.0;20.0;1.0;4200.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1148.636209;1.1804;1.18045;Currency;Undefined;0.007764;0.018586;0.041421;973.0494379262146
6J_Z;JPY;USD;Japanese Yen December;7;0.0;10;0.0;6.25;1.0;4;2;1.0;20.0;1.0;3900.0;0.0;0.0;JPY;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;626.883502;0.006816;0.006816;Currency;Undefined;5.4e-05;0.000122;0.000346;91972.3447769953
6N_Z;USD;USD;New Zeland Dollar December;5;1e-05;5;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;2100.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;536.355162;0.5875;0.58755;Currency;Undefined;0.005168;0.011261;0.029221;912.8672657646157
6S_Z;USD;USD;Swixx Franc December;5;1e-05;10;5e-05;6.25;1.0;4;2;1.0;20.0;1.0;5500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1324.678217;1.26945;1.2695;Currency;Undefined;0.008957;0.018525;0.038893;1043.4645269791256
