Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginRate;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;VaR_to_Ask_Ratio
AUS200;AUD;AUD;Australian Stock Index;1;0.1;8;0.1;0.64051;10.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;0.0;AUD;1970.01.01 00:00;0.0;-12.32;1202590843;1;5;0.0;798.514529;8337.4;8338.2;Undefined;Undefined;0.0957658162433139
FCHI40;EUR;EUR;France 40;1;0.1;70;0.1;1.1161;10.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;0.0;EUR;1970.01.01 00:00;0.0;-8.16;-1717986918;1;5;0.0;1338.74849;7885.0;7892.0;Undefined;Undefined;0.16963361505321845
GDAXI;EUR;EUR;Germany 40;1;0.1;7;0.1;1.1161;10.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;0.0;EUR;1970.01.01 00:00;0.0;-25.9;2061584302;1;5;0.0;3631.544851;23812.5;23813.2;Undefined;Undefined;0.15250133753548453
NDX;USD;USD;US Tech 100;1;0.1;7;0.1;1.0;10.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-36.39;-343597384;1;5;0.0;5412.610323;21319.8;21320.5;Indexes;Undefined;0.253868826856781
SPA35;EUR;EUR;Spanish IBEX35 Index;1;0.1;52;0.1;1.1161;10.0;4;2;0.1;100.0;0.1;0.0;0.0;0.0;0.0;EUR;1970.01.01 00:00;0.0;-15.54;343597384;1;5;0.0;2046.484265;14119.1;14124.3;Undefined;Undefined;0.14489102220995023
AAL;USD;USD;American Airlines Group Inc;2;0.01;1;0.01;0.01;1.0;3;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;0.51924;11.85;11.86;Industrials;Airlines;0.043780775716694774
ACHC;USD;USD;Acadia Healthcare Co Inc;2;0.01;6;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;1.767133;26.1;26.16;Healthcare;Medical Care Facilities;0.06755095565749236
ADBE;USD;USD;Adobe Inc;2;0.01;15;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;7.341498;417.12;417.27;Technology;Software - Infrastructure;0.017594118915809906
ADI;USD;USD;Analog Devices Inc;2;0.01;20;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;8.646854;227.15;227.35;Technology;Semiconductors;0.03803322630305696
ADP;USD;USD;Automatic Data Processing Inc;2;0.01;18;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;6.243936;319.23;319.41;Industrials;Staffing & Employment Services;0.01954834225603456
