Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginRate;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName
EURGBP;EUR;GBP;Euro vs Great Britain Pound ;5;0.000010;5;0.000010;1.326420;100000.000000;0;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;0.000000;-7.400000;858993459;1;3;0.000000;634.033344;0.842330;0.842380;Currency;Undefined
EURUSD;EUR;USD;Euro vs US Dollar;5;0.000010;5;0.000010;1.000000;100000.000000;0;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;0.000000;-9.100000;-858993459;1;3;0.000000;1266.931266;1.117300;1.117340;Currency;Undefined
GBPUSD;GBP;USD;Great Britan Pound vs US Dollar;5;0.000010;6;0.000010;1.000000;100000.000000;0;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;0.000000;GBP;1970.01.01 00:00;0.000000;-5.900000;0;1;3;0.000000;1188.118242;1.326400;1.326460;Currency;Undefined
6A_M;USD;USD;Australian Dollar June;5;0.000010;10;0.000050;5.000000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;689.268093;0.643200;0.643300;Currency;Undefined
6B_M;USD;USD;British Pound June;4;0.000100;2;0.000100;6.250000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;777.849849;1.326500;1.326700;Currency;Undefined
6C_M;USD;USD;Canadian Dollar June;5;0.000010;10;0.000050;5.000000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;417.067611;0.716450;0.716550;Currency;Undefined
6E_M;USD;USD;Euro FX June;5;0.000010;10;0.000050;6.250000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;1648.621953;1.119550;1.119650;Currency;Undefined
6J_M;USD;USD;Japanese Yen June;7;0.000000;10;0.000000;6.250000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;1405.955506;0.006838;0.006839;Currency;Undefined
6N_M;USD;USD;New Zeland Dollar June;5;0.000010;10;0.000050;5.000000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;673.193940;0.590350;0.590450;Currency;Undefined
6S_M;USD;USD;Swiss Franc June;5;0.000010;10;0.000050;6.250000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;2145.063134;1.191800;1.191900;Currency;Undefined
BZ_N;USD;USD;Brent Crude Oil July;2;0.010000;1;0.010000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;2162.248119;65.820000;65.830000;Commodities;Commodities - Energy
CL_M;USD;USD;Light Sweet Crude June;2;0.010000;2;0.010000;10.000000;1.000000;3;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;2246.733459;62.910000;62.930000;Commodities;Commodities - Energy
CL_N;USD;USD;Light Sweet Crude July;2;0.010000;2;0.010000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;2208.675165;62.440000;62.460000;Commodities;Commodities - Energy
ES_M;USD;USD;E-Mini S&P 500 June;2;0.010000;25;0.250000;12.500000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;7099.917311;5907.750000;5908.000000;Indexes;Utilities - Regulated Electric
GC_M;USD;USD;Gold June;1;0.100000;3;0.100000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;10036.765500;3184.800000;3185.000000;Commodities;Undefined
HE_M;USD;USD;Lean Hogs June;3;0.001000;50;0.025000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;756.358794;98.775000;98.825000;Utilities;Utilities - Diversified
HG_N;USD;USD;Copper July;4;0.000100;5;0.000500;12.500000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;3293.482937;4.642000;4.642500;Commodities;Commodities - Precious
HO_M;USD;USD;Heating Oil June;4;0.000100;7;0.000100;4.200000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;2591.795091;2.194200;2.194800;Commodities;Undefined
KE_N;USD;USD;Hard Red Wheat July;2;0.010000;25;0.250000;12.500000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;501.504791;522.750000;523.000000;Commodities;Commodities - Agricultural
LE_M;USD;USD;Live Cattle June;3;0.001000;50;0.025000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;854.694005;213.875000;213.925000;Commodities;Commodities - Agricultural
MBT_K;USD;USD;Bitcoin Micro May;0;1.000000;25;5.000000;0.500000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;345.749371;103775.000000;103800.000000;Crypto Currency;Undefined
NG_M;USD;USD;Natural Gas June;3;0.001000;2;0.001000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;1764.070046;3.460000;3.462000;Commodities;Commodities - Energy
NQ_M;USD;USD;E-mini Nasdaq 100 June;2;0.010000;75;0.250000;5.000000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;12362.495362;21404.250000;21405.000000;Indexes;Undefined
PL_N;USD;USD;Platinum July;1;0.100000;2;0.100000;5.000000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;1144.284486;982.000000;982.200000;Commodities;Commodities - Precious
RB_M;USD;USD;RBOB Gasoline June;4;0.000100;5;0.000100;4.200000;1.000000;4;2;1.000000;20.000000;1.000000;0.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;0.000000;-2.880000;-1030792151;0;5;0.000000;2161.648452;2.154500;2.155000;Commodities;Undefined
