Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginRate;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;VaR_to_Ask_Ratio
AUS200;AUD;AUD;Australian Stock Index;1;0.1;8;0.1;0.64868;10.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;0.0;AUD;1970.01.01 00:00;0.0;-12.54;171798692;1;5;0.0;520.693685;8546.1;8546.9;Undefined;Undefined;0.06092193485357264
FCHI40;EUR;EUR;France 40;1;0.1;70;0.1;1.15473;10.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;0.0;EUR;1970.01.01 00:00;0.0;-7.8;1717986918;1;5;0.0;1040.178611;7651.4;7658.4;Undefined;Undefined;0.1358219224642223
GDAXI;EUR;EUR;Germany 40;1;0.1;7;0.1;1.15473;10.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;0.0;EUR;1970.01.01 00:00;0.0;-25.14;2061584302;1;5;0.0;3609.358704;23410.0;23410.7;Undefined;Undefined;0.1541755993626846
NDX;USD;USD;US Tech 100;1;0.1;8;0.1;1.0;10.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-36.86;-1374389535;1;5;0.0;2894.804868;21642.4;21643.2;Indexes;Undefined;0.13375124140607675
SPA35;EUR;EUR;Spanish IBEX35 Index;1;0.1;52;0.1;1.15473;10.0;4;2;0.1;100.0;0.1;0.0;0.0;0.0;0.0;EUR;1970.01.01 00:00;0.0;-15.04;-343597384;1;5;0.0;1725.26484;13915.1;13920.3;Undefined;Undefined;0.1239387685610224
AAL;USD;USD;American Airlines Group Inc;2;0.01;1;0.01;0.01;1.0;3;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;0.401734;10.34;10.35;Industrials;Airlines;0.03881487922705314
ACHC;USD;USD;Acadia Healthcare Co Inc;2;0.01;7;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;0.992913;21.14;21.21;Healthcare;Medical Care Facilities;0.046813437057991514
ADBE;USD;USD;Adobe Inc;2;0.01;22;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;8.363375;391.64;391.86;Technology;Software - Infrastructure;0.021342762721380082
ADI;USD;USD;Analog Devices Inc;2;0.01;22;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;6.252717;224.79;225.01;Technology;Semiconductors;0.027788618283631838
ADP;USD;USD;Automatic Data Processing Inc;2;0.01;20;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;4.961116;306.49;306.69;Industrials;Staffing & Employment Services;0.01617632136685252
ADSK;USD;USD;Autodesk Inc;2;0.01;27;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;3.378343;291.89;292.16;Technology;Software - Application;0.011563331736035048
AKAM;USD;USD;Akamai Technologies Inc;2;0.01;5;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;1.543955;76.97;77.02;Technology;Software - Infrastructure;0.020046156842378603
ALGN;USD;USD;Align Technology Inc;2;0.01;23;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;6.390917;177.66;177.89;Healthcare;Medical Devices;0.035926229692506605
ALNY;USD;USD;Alnylam Pharmaceuticals Inc;2;0.01;238;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;9.459909;306.32;308.7;Healthcare;Biotechnology;0.030644344023323614
AMAT;USD;USD;Applied Materials Inc;2;0.01;14;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;5.412417;170.54;170.68;Technology;Semiconductor Equipment & Materials;0.031710903445043355
AMD;USD;USD;Advanced Micro Devices Inc;2;0.01;3;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;4.301232;116.15;116.18;Technology;Semiconductors;0.037022138061628504
AMED;USD;USD;Amedisys Inc;2;0.01;2;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;1.367889;97.15;97.17;Healthcare;Medical Care Facilities;0.014077276937326334
