Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginRate;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;VaR_to_Ask_Ratio
AUS200;AUD;AUD;Australian Stock Index;1;0.1;0;0.1;0.62856;10.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;0.0;AUD;1970.01.01 00:00;0.0;-12.43;-515396076;1;5;0.0;657.096092;7951.2;7952.0;Undefined;Undefined;0.0826328083501006
FCHI40;EUR;EUR;France 40;1;0.1;0;0.1;1.07384;10.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;0.0;EUR;1970.01.01 00:00;0.0;-9.04;-858993459;1;5;0.0;1324.17638;7979.3;7986.3;Undefined;Undefined;0.16580599025831738
GDAXI;EUR;EUR;Germany 40;1;0.1;7;0.1;1.07384;10.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;0.0;EUR;1970.01.01 00:00;0.0;-27.0;-1030792151;1;5;0.0;5357.438916;22732.7;22733.4;Undefined;Undefined;0.23566377734962654
NDX;USD;USD;US Tech 100;1;0.1;0;0.1;1.0;10.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-34.16;2061584302;1;5;0.0;5329.032674;19848.6;19849.3;Indexes;Undefined;0.268474589733643
SPA35;EUR;EUR;Spanish IBEX35 Index;1;0.1;0;0.1;1.07385;10.0;4;2;0.1;100.0;0.1;0.0;0.0;0.0;0.0;EUR;1970.01.01 00:00;0.0;-16.03;1030792151;1;5;0.0;2519.289367;13352.9;13364.1;Undefined;Undefined;0.18851171175013653
AAL;USD;USD;American Airlines Group Inc;2;0.01;0;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;5;5;0.0;0.69723;11.44;11.45;Industrials;Airlines;0.06089344978165939
ACHC;USD;USD;Acadia Healthcare Co Inc;2;0.01;0;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;5;5;0.0;2.883235;29.56;29.75;Healthcare;Medical Care Facilities;0.09691546218487394
ADBE;USD;USD;Adobe Inc;2;0.01;0;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;5;5;0.0;23.426178;397.85;398.15;Technology;Software - Infrastructure;0.05883756875549417
ADI;USD;USD;Analog Devices Inc;2;0.01;0;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;5;5;0.0;7.986197;210.43;210.58;Technology;Semiconductors;0.03792476493494159
ADP;USD;USD;Automatic Data Processing Inc;2;0.01;0;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;5;5;0.0;7.134426;302.5;302.87;Industrials;Staffing & Employment Services;0.023556066959421536
ADSK;USD;USD;Autodesk Inc;2;0.01;0;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;5;5;0.0;8.987286;271.22;271.54;Technology;Software - Application;0.03309746630330706
AKAM;USD;USD;Akamai Technologies Inc;2;0.01;0;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;5;5;0.0;3.247075;81.42;81.48;Technology;Software - Infrastructure;0.03985119047619048
ALGN;USD;USD;Align Technology Inc;2;0.01;0;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;5;5;0.0;7.578111;166.25;166.63;Healthcare;Medical Devices;0.04547867130768769
ALNY;USD;USD;Alnylam Pharmaceuticals Inc;2;0.01;0;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.4;0;5;5;0.0;16.067961;268.82;269.7;Healthcare;Biotechnology;0.05957716351501669
