Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginRate;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;VaR_to_Ask_Ratio
BZ_N;USD;USD;Brent Crude Oil July;2;0.01;2;0.01;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;3036.084717;61.85;61.87;Commodities;Commodities - Energy;49.07200124454502
CL_M;USD;USD;Light Sweet Crude June;2;0.01;1;0.01;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;3180.846375;58.98;58.99;Commodities;Commodities - Energy;53.92178971012036
ES_M;USD;USD;E-Mini S&P 500 June;2;0.01;25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;14977.432681;5610.5;5610.75;Indexes;Utilities - Regulated Electric;2.669417222474714
GC_M;USD;USD;Gold June;1;0.1;4;0.1;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;10532.702369;3247.9;3248.3;Commodities;Undefined;3.242527589508358
HE_K;USD;USD;Lean Hogs May;3;0.001;125;0.025;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;799.233083;92.275;92.4;Utilities;Utilities - Diversified;8.64970869047619
HE_M;USD;USD;Lean Hogs June;3;0.001;50;0.025;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;1055.265326;98.175;98.225;Utilities;Utilities - Diversified;10.743347681343854
HG_N;USD;USD;Copper July;4;0.0001;35;0.0005;12.5;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;6904.374063;4.6305;4.634;Commodities;Commodities - Precious;1489.9382958567112
HO_M;USD;USD;Heating Oil June;4;0.0001;7;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;3139.032253;2.0067;2.0074;Commodities;Undefined;1563.7303243000895
KE_N;USD;USD;Hard Red Wheat July;2;0.01;25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;546.248718;528.25;528.5;Commodities;Commodities - Agricultural;1.0335831939451279
LE_M;USD;USD;Live Cattle June;3;0.001;50;0.025;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;1845.787345;209.55;209.6;Commodities;Commodities - Agricultural;8.806237333015266
MBT_K;USD;USD;Bitcoin Micro May;0;1.0;45;5.0;0.5;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;515.604462;97105.0;97150.0;Crypto Currency;Undefined;0.005307302748327329
NG_M;USD;USD;Natural Gas June;3;0.001;1;0.001;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;2184.158759;3.443;3.444;Commodities;Commodities - Energy;634.1924387340301
NQ_M;USD;USD;E-mini Nasdaq 100 June;2;0.01;100;0.25;5.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;24705.952936;19793.5;19794.5;Indexes;Undefined;1.248122101391801
PL_N;USD;USD;Platinum July;1;0.1;1;0.1;5.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;1563.787156;973.3;973.4;Commodities;Commodities - Precious;1.6065206040682147
