Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;VaR_to_Ask_Ratio;RelativeSpread_%;ATR_D1/AskPrice;ATR_W1/AskPrice;ATR_MN1/AskPrice
6A_Z;USD;USD;Australian Dollar December;5;1e-05;4.999999999999449e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;2300.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;408.876254;0.6589;0.65895;Currency;Undefined;0.004389;0.010825;0.028793;620.496629486304;0.007587829122087334;0.006660596403368995;0.016427650049320886;0.04369527278245693
6B_Z;USD;USD;British Pound December;4;0.0001;9.999999999998899e-05;0.0001;6.25;1.0;4;2;1.0;20.0;1.0;2300.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;502.07509;1.3404;1.3405;Currency;Undefined;0.008679;0.018993;0.049271;374.54314807907497;0.007459903021259902;0.0064744498321521815;0.014168593808280491;0.036755688176053715
6C_Z;USD;USD;Canadian Dollar December;5;1e-05;4.999999999999449e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;1500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;278.745098;0.71865;0.7187;Currency;Undefined;0.002464;0.006882;0.019564;387.84624739112286;0.006957005704743912;0.0034284124112981774;0.009575622652010575;0.02722137192152498
6E_Z;USD;USD;Euro FX December;5;1e-05;5.0000000000105516e-05;5e-05;6.25;1.0;4;2;1.0;20.0;1.0;4200.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;957.132372;1.17045;1.1705;Currency;Undefined;0.007282;0.016771;0.041861;817.7124066638188;0.004271678769765528;0.006221272960273387;0.0143280649295173;0.035763348996155485
6J_Z;JPY;USD;Japanese Yen December;7;0.0;0.0;0.0;6.25;1.0;4;2;1.0;20.0;1.0;3900.0;0.0;0.0;JPY;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;822.380619;0.006671;0.006671;Currency;Undefined;5.7e-05;0.000117;0.000335;123276.9628241643;0.0;0.008544446110028482;0.01753859991005846;0.05021735871683406
6N_Z;USD;USD;New Zeland Dollar December;5;1e-05;4.999999999999449e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;2100.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;462.436161;0.58185;0.5819;Currency;Undefined;0.004268;0.010846;0.0289;794.7003969754254;0.008592541673826172;0.007334593572778828;0.018638941398865783;0.049664890874720743
6S_Z;USD;USD;Swixx Franc December;5;1e-05;9.999999999998899e-05;5e-05;6.25;1.0;4;2;1.0;20.0;1.0;5500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1092.597915;1.2622;1.2623;Currency;Undefined;0.007711;0.017268;0.039239;865.5612096965857;0.007922047056958646;0.006108690485621485;0.013679790857957695;0.03108532044680346
BZ_Z;USD;USD;Brent Crude Oil December;2;0.01;0.01999999999999602;0.01;10.0;1.0;4;2;1.0;20.0;1.0;13400.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1491.09573;65.4;65.42;Commodities;Commodities - Energy;1.457143;3.055;7.56;22.79265866707429;0.0305716906144849;0.022273662488535618;0.04669825741363497;0.1155609905227759
CL_X;USD;USD;Light Sweet Crude November;2;0.01;0.00999999999999801;0.01;10.0;1.0;4;2;1.0;20.0;1.0;12700.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1524.226958;61.63;61.64;Commodities;Commodities - Energy;1.496429;3.352143;7.811429;24.727887053861128;0.01622323166774499;0.024276914341336796;0.054382592472420506;0.12672662232316678
ES_Z;USD;USD;E-Mini S&P 500 December;2;0.01;0.25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;20700.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;1976.63389;6790.5;6790.75;Indexes;Utilities - Regulated Electric;55.589286;132.696429;402.857143;0.2910774052939661;0.0036814784817582736;0.00818603040901226;0.019540761918786585;0.059324396127084636
GC_Z;USD;USD;Gold December;1;0.1;0.1999999999998181;0.1;10.0;1.0;4;2;1.0;20.0;1.0;19800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;5311.931019;3987.5;3987.7;Commodities;Undefined;60.95;107.435714;254.014286;1.33207889735938;0.005015422423949097;0.015284499836998772;0.0269417744564536;0.06369944730044888
HE_V;USD;USD;Lean Hogs October;3;0.001;0.04999999999999716;0.025;10.0;1.0;4;2;1.0;20.0;1.0;3600.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 ;598.800166;98.125;98.175;Utilities;Utilities - Diversified;1.196429;3.301786;6.144643;6.099314143111791;0.050929462694165685;0.012186697224344283;0.03363163738222562;0.06258867328749682
HE_Z;USD;USD;Lean Hogs December;3;0.001;0.025000000000005684;0.025;10.0;1.0;4;2;1.0;20.0;1.0;3300.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 ;618.442643;87.25;87.275;Utilities;Utilities - Diversified;1.310714;3.158929;5.523214;7.086137416213119;0.02864508736752298;0.015018206817530792;0.036195118877112575;0.06328517903179605
HG_Z;USD;USD;Copper December;4;0.0001;0.001000000000000334;0.0005;12.5;1.0;4;2;1.0;20.0;1.0;11100.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;3050.897395;5.092;5.093;Commodities;Commodities - Precious;0.11575;0.345536;0.620357;599.0373836638523;0.019634792852941958;0.022727272727272728;0.06784527783231888;0.12180581189868447
HO_X;USD;USD;Heating Oil November;4;0.0001;0.0005999999999999339;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;21100.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2553.330645;2.2593;2.2599;Commodities;Undefined;0.053664;0.120764;0.2337;1129.8423138191956;0.026549847338374878;0.02374618345944511;0.05343776273286428;0.10341165538298154
KE_Z;USD;USD;Hard Red Wheat December;2;0.01;0.25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;2500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;437.091269;495.75;496.0;Commodities;Commodities - Agricultural;8.767857;19.446429;57.553571;0.8812323971774194;0.05040322580645161;0.017677131048387095;0.03920651008064516;0.1160354254032258
LE_Z;USD;USD;Live Cattle December;3;0.001;0.025000000000005684;0.025;10.0;1.0;4;2;1.0;20.0;1.0;4600.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 ;1654.847187;236.6;236.625;Commodities;Commodities - Agricultural;3.001786;7.367857;11.705357;6.993543315372425;0.010565240359220573;0.012685836238774433;0.031137272054939248;0.049467964078182776
NG_X;USD;USD;Natural Gas November;3;0.001;0.0009999999999998899;0.001;10.0;1.0;4;2;1.0;20.0;1.0;6200.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1222.131645;3.394;3.395;Commodities;Commodities - Energy;0.130857;0.324143;1.0295;359.97986597938143;0.02945508100146951;0.038544035346097204;0.09547658321060383;0.30324005891016204
NQ_Z;USD;USD;E-mini Nasdaq 100 December;2;0.01;0.5;0.25;5.0;1.0;4;2;1.0;20.0;1.0;24000.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;3897.862649;25210.75;25211.25;Indexes;Undefined;273.910714;624.678571;1876.375;0.1546080677871981;0.0019832416084089445;0.010864622499876046;0.02477777067777282;0.07442609945956666
PL_F;USD;USD;Platinum January;1;0.1;0.599999999999909;0.1;5.0;1.0;4;2;1.0;20.0;1.0;7200.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2446.048064;1648.9;1649.5;Commodities;Commodities - Precious;56.314286;101.771429;155.335714;1.4829027365868446;0.03637465898756648;0.03414021582297666;0.06169835040921491;0.09417139375568354
RB_X;USD;USD;RBOB Gasoline November;4;0.0001;0.00039999999999995595;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;16900.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1831.37237;1.8929;1.8933;Commodities;Undefined;0.043136;0.087321;0.197779;967.2911688586069;0.021127132519936403;0.022783499709501928;0.04612105846933925;0.10446257856652406
RTY_Z;USD;USD;E-Mini Rusell 2000 Index December;1;0.1;0.1999999999998181;0.1;5.0;1.0;4;2;1.0;20.0;1.0;7500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;1813.340726;2503.3;2503.5;Indexes;Undefined;39.478571;92.5;222.107143;0.7243222392650289;0.007988815658071425;0.015769351308168564;0.03694827241861394;0.08871865108847614
