Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1
CL_X;USD;USD;Light Sweet Crude November;2;0.010000;1;0.010000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;12700.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1482.451781;62.340000;62.350000;Commodities;Commodities - Energy;1.458571;4.755714;7.797143
ES_Z;USD;USD;E-Mini S&P 500 December;2;0.010000;25;0.250000;12.500000;1.000000;4;2;1.000000;20.000000;1.000000;20700.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;2831.782250;6722.750000;6723.000000;Indexes;Utilities - Regulated Electric;54.267857;146.892857;400.892857
GC_Z;USD;USD;Gold December;1;0.100000;2;0.100000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;19800.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;4090.536693;3717.100000;3717.300000;Commodities;Undefined;49.414286;114.335714;235.635714
HE_V;USD;USD;Lean Hogs October;3;0.001000;50;0.025000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;3600.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 ;612.802573;97.975000;98.025000;Utilities;Utilities - Diversified;1.392857;3.223214;5.864286
HG_Z;USD;USD;Copper December;4;0.000100;15;0.000500;12.500000;1.000000;4;2;1.000000;20.000000;1.000000;11100.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1740.403543;4.631000;4.632500;Commodities;Commodities - Precious;0.069357;0.333143;0.641786
HO_V;USD;USD;Heating Oil October;4;0.000100;6;0.000100;4.200000;1.000000;4;2;1.000000;20.000000;1.000000;21400.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2564.823304;2.300200;2.300800;Commodities;Undefined;0.058421;0.180236;0.263650
HO_X;USD;USD;Heating Oil November;4;0.000100;5;0.000100;4.200000;1.000000;4;2;1.000000;20.000000;1.000000;21100.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2473.903432;2.294900;2.295400;Commodities;Undefined;0.056257;0.154250;0.243479
KE_Z;USD;USD;Hard Red Wheat December;2;0.010000;25;0.250000;12.500000;1.000000;4;2;1.000000;20.000000;1.000000;2500.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;448.879749;507.500000;507.750000;Commodities;Commodities - Agricultural;9.285714;24.803571;61.000000
LE_V;USD;USD;Live Cattle October;3;0.001000;50;0.025000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;3800.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 ;1510.263980;233.450000;233.500000;Commodities;Commodities - Agricultural;3.592857;7.435714;12.869643
NG_V;USD;USD;Natural Gas October;3;0.001000;1;0.001000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;4900.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1138.159164;2.910000;2.911000;Commodities;Commodities - Energy;0.142357;0.348714;0.990143
NG_X;USD;USD;Natural Gas November;3;0.001000;2;0.001000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;6200.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1084.060633;3.202000;3.204000;Commodities;Commodities - Energy;0.128500;0.376857;1.081214
NQ_Z;USD;USD;E-mini Nasdaq 100 December;2;0.010000;25;0.250000;5.000000;1.000000;4;2;1.000000;20.000000;1.000000;24000.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;5238.737219;24859.000000;24859.250000;Indexes;Undefined;262.464286;672.642857;1920.089286
PL_F;USD;USD;Platinum January;1;0.100000;5;0.100000;5.000000;1.000000;4;2;1.000000;20.000000;1.000000;7200.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2097.051599;1435.100000;1435.600000;Commodities;Commodities - Precious;46.564286;109.071429;144.021429
PL_V;USD;USD;Platinum October;1;0.100000;4;0.100000;5.000000;1.000000;4;2;1.000000;20.000000;1.000000;5360.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2102.194093;1420.200000;1420.600000;Commodities;Commodities - Precious;47.000000;108.021429;142.700000
RB_V;USD;USD;RBOB Gasoline October;4;0.000100;5;0.000100;4.200000;1.000000;4;2;1.000000;20.000000;1.000000;17800.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1729.845047;1.968500;1.969000;Commodities;Undefined;0.044743;0.115014;0.207386
RB_X;USD;USD;RBOB Gasoline November;4;0.000100;4;0.000100;4.200000;1.000000;4;2;1.000000;20.000000;1.000000;16900.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1659.068407;1.910700;1.911100;Commodities;Undefined;0.041786;0.109093;0.200593
RTY_Z;USD;USD;E-Mini Rusell 2000 Index December;1;0.100000;2;0.100000;5.000000;1.000000;4;2;1.000000;20.000000;1.000000;7500.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;2419.738505;2466.400000;2466.600000;Indexes;Undefined;37.107143;94.028571;231.657143
SI_Z;USD;USD;Silver December;3;0.001000;5;0.005000;25.000000;1.000000;4;2;1.000000;20.000000;1.000000;23500.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;4475.725516;43.290000;43.295000;Commodities;Commodities - Precious;0.957143;1.932500;4.190357
YM_Z;USD;USD;E-Mini DJIA December;0;1.000000;2;1.000000;5.000000;1.000000;4;2;1.000000;20.000000;1.000000;13800.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;2561.364278;46651.000000;46653.000000;Indexes;Undefined;419.571429;1097.857143;2733.428571
ZC_Z;USD;USD;Corn December;2;0.010000;25;0.250000;12.500000;1.000000;4;2;1.000000;20.000000;1.000000;1300.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;380.026878;424.000000;424.250000;Commodities;Undefined;6.821429;17.803571;40.017857
ZL_Z;USD;USD;Soybean Oil December;2;0.010000;1;0.010000;6.000000;1.000000;4;2;1.000000;20.000000;1.000000;3200.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;660.824957;50.560000;50.570000;Commodities;Undefined;1.040714;2.630714;5.132143
ZM_Z;USD;USD;Soybean Meal December;1;0.100000;2;0.100000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;2000.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;375.490030;284.000000;284.200000;Commodities;Commodities - Agricultural;3.735714;10.021429;30.257143
ZN_Z;USD;USD;10Y US Treasury Note December;6;0.000001;15625;0.015625;15.625000;1.000000;4;2;1.000000;20.000000;1.000000;2700.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;469.625571;112.828125;112.843750;Financial;Undefined;0.492188;1.043527;2.909598
ZS_X;USD;USD;Soybeans November;2;0.010000;25;0.250000;12.500000;1.000000;4;2;1.000000;20.000000;1.000000;2800.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;649.832384;1025.750000;1026.000000;Commodities;Commodities - Agricultural;12.178571;35.607143;77.125000
FDAX_Z;EUR;EUR;DAX Index December;0;1.000000;2;1.000000;25.000000;1.000000;4;2;1.000000;20.000000;1.000000;35000.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 ;7277.776187;23790.000000;23792.000000;Indexes;Undefined;284.071429;711.857143;1523.857143
FESX_Z;EUR;EUR;Euro Stoxx 50 December;0;1.000000;1;1.000000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;3000.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 ;616.628591;5475.000000;5476.000000;Indexes;Undefined;59.071429;150.857143;369.928571
FGBL_Z;EUR;EUR;Bund December;2;0.010000;2;0.010000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;2600.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 ;446.287029;128.210000;128.230000;Indexes;Undefined;0.497143;1.227857;3.345714
