Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;VaR_to_Ask_Ratio;RelativeSpread_%;ATR_D1/AskPrice;ATR_W1/AskPrice;ATR_MN1/AskPrice
EURGBP;EUR;GBP;Euro vs Great Britain Pound ;5;1e-05;5.999999999994898e-05;1e-05;1.3479;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-6.9;2.5;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;399.807935;0.87024;0.8703;Currency;Undefined;0.003036;0.008118;0.018646;459.3909399057797;0.00689417442260703;0.0034884522578421235;0.009327817993795244;0.02142479604734
EURUSD;EUR;USD;Euro vs US Dollar;5;1e-05;1.999999999990898e-05;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-10.0;3.5;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;813.417379;1.173;1.17302;Currency;Undefined;0.007576;0.018152;0.041763;693.4386276448824;0.0017050007672425858;0.006458542906344308;0.015474586963564135;0.03560297352133809
GBPUSD;GBP;USD;Great Britan Pound vs US Dollar;5;1e-05;1.999999999990898e-05;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;GBP;1970.01.01 00:00;1970.01.01 00:00;-4.3;-3.2;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;855.964412;1.34792;1.34794;Currency;Undefined;0.008694;0.021054;0.049387;635.0167010401057;0.0014837455673033652;0.0064498419810970825;0.01561938958707361;0.03663887116637239
6A_Z;USD;USD;Australian Dollar December;5;1e-05;4.999999999999449e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;2300.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;461.000125;0.66185;0.6619;Currency;Undefined;0.004557;0.011611;0.028793;696.4800196404291;0.007554011179935714;0.0068847257893941685;0.017541924762048647;0.04350052878078259
6B_Z;USD;USD;British Pound December;4;0.0001;9.999999999998899e-05;0.0001;6.25;1.0;4;2;1.0;20.0;1.0;2300.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;530.62094;1.348;1.3481;Currency;Undefined;0.008393;0.020936;0.049271;393.6065128699651;0.00741784734070091;0.00622579927305096;0.015530005192493137;0.036548475632371485
6C_Z;USD;USD;Canadian Dollar December;5;1e-05;4.999999999999449e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;1500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;278.222022;0.71965;0.7197;Currency;Undefined;0.002718;0.007232;0.019564;386.5805502292621;0.006947339169097471;0.0037765735723218007;0.010048631374183686;0.027183548700847576
6E_Z;USD;USD;Euro FX December;5;1e-05;5.0000000000105516e-05;5e-05;6.25;1.0;4;2;1.0;20.0;1.0;4200.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1019.944481;1.178;1.17805;Currency;Undefined;0.007543;0.0182;0.041861;865.7904851237214;0.004244302024541022;0.006402954034209075;0.01544925936929672;0.03553414540978736
6J_Z;JPY;USD;Japanese Yen December;7;0.0;0.0;0.0;6.25;1.0;4;2;1.0;20.0;1.0;3900.0;0.0;0.0;JPY;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;610.190505;0.006849;0.006849;Currency;Undefined;4.9e-05;0.000122;0.000335;89091.91195795007;0.0;0.00715432909913856;0.017812819389691925;0.04891224996349832
6N_Z;USD;USD;New Zeland Dollar December;5;1e-05;9.999999999998899e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;2100.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;532.963662;0.58325;0.58335;Currency;Undefined;0.004421;0.011725;0.0289;913.6258884031884;0.017142367360930656;0.007578640610268277;0.020099425730693406;0.04954144167309505
6S_Z;USD;USD;Swixx Franc December;5;1e-05;9.999999999998899e-05;5e-05;6.25;1.0;4;2;1.0;20.0;1.0;5500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1263.174437;1.2657;1.2658;Currency;Undefined;0.008057;0.018957;0.039239;997.925767893822;0.007900142202558776;0.006365144572602306;0.014976299573392322;0.030999367988623797
