Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;VaR_to_Ask_Ratio;RelativeSpread_%;ATR_D1/AskPrice;ATR_W1/AskPrice;ATR_MN1/AskPrice
EURGBP;EUR;GBP;Euro vs Great Britain Pound ;5;1e-05;7.00000000000145e-05;1e-05;1.34423;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-7.0;2.6;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;452.652128;0.87302;0.87309;Currency;Undefined;0.003036;0.008118;0.018601;518.4484165435407;0.008017501059457158;0.0034773047452152698;0.009298010514379961;0.02130479102956167
EURUSD;EUR;USD;Euro vs US Dollar;5;1e-05;2.999999999997449e-05;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-10.0;3.6;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;860.451793;1.17361;1.17364;Currency;Undefined;0.007567;0.018152;0.041244;733.1479780852732;0.0025561500971315303;0.006447462595003579;0.015466412187723664;0.03514195153539416
GBPUSD;GBP;USD;Great Britan Pound vs US Dollar;5;1e-05;8.000000000008001e-05;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;GBP;1970.01.01 00:00;1970.01.01 00:00;-4.3;-3.2;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;1013.699451;1.34421;1.34429;Currency;Undefined;0.008681;0.021054;0.049542;754.0779526739021;0.005951096861546244;0.006457683981878909;0.015661799165358665;0.03685365508930365
6A_Z;USD;USD;Australian Dollar December;5;1e-05;4.999999999999449e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;2300.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;464.36919;0.66185;0.6619;Currency;Undefined;0.004543;0.011611;0.029532;701.5700105756156;0.007554011179935714;0.0068635745580903455;0.017541924762048647;0.04461701163317721
6B_Z;USD;USD;British Pound December;4;0.0001;9.999999999998899e-05;0.0001;6.25;1.0;4;2;1.0;20.0;1.0;2300.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;632.095238;1.3444;1.3445;Currency;Undefined;0.008379;0.020936;0.04945;470.1340557828189;0.0074377091855700244;0.00623205652658981;0.015571587950911119;0.03677947192264783
6C_Z;USD;USD;Canadian Dollar December;5;1e-05;4.999999999999449e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;1500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;282.481091;0.72065;0.7207;Currency;Undefined;0.002725;0.007232;0.019743;391.95378243374495;0.006937699458858678;0.003781046205078396;0.010034688497294296;0.027394200083252395
6E_Z;USD;USD;Euro FX December;5;1e-05;9.999999999998899e-05;5e-05;6.25;1.0;4;2;1.0;20.0;1.0;4200.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1079.10109;1.17865;1.17875;Currency;Undefined;0.007536;0.0182;0.041421;915.46221845175;0.008483563096499596;0.0063932131495227995;0.015440084835630967;0.035139766702014845
6J_Z;JPY;USD;Japanese Yen December;7;0.0;0.0;0.0;6.25;1.0;4;2;1.0;20.0;1.0;3900.0;0.0;0.0;JPY;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;637.794198;0.006811;0.006811;Currency;Undefined;4.7e-05;0.000122;0.000346;93641.7850535898;0.0;0.006900601967405667;0.017912200851563646;0.05080017618558215
6N_Z;USD;USD;New Zeland Dollar December;5;1e-05;4.999999999999449e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;2100.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;538.3229;0.58105;0.5811;Currency;Undefined;0.004482;0.011725;0.029221;926.3859920839787;0.008604371020477456;0.007712958182756841;0.020177250043021854;0.05028566511787989
6S_Z;USD;USD;Swixx Franc December;5;1e-05;0.0001500000000000945;5e-05;6.25;1.0;4;2;1.0;20.0;1.0;5500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1303.919446;1.2668;1.26695;Currency;Undefined;0.007904;0.018957;0.038893;1029.1798776589449;0.011839456963581397;0.00623860452267256;0.014962705710564744;0.03069813331228541
