Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;RelativeSpread_%;ATR_D1/AskPrice;ATR_W1/AskPrice;ATR_MN1/AskPrice
CL_X;USD;USD;Light Sweet Crude November;2;0.01;0.00999999999999801;0.01;10.0;1.0;4;2;1.0;20.0;1.0;12700.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1530.707876;63.59;63.6;Commodities;Commodities - Energy;1.445;4.755714;7.797143;0.015723270440248443;0.022720125786163524;0.07477537735849057;0.12259658805031447
ES_U;USD;USD;E-Mini S&P 500 September;2;0.01;0.25;0.25;12.5;1.0;3;2;1.0;20.0;1.0;16540.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;2872.137518;6606.0;6606.25;Indexes;Utilities - Regulated Electric;52.571429;145.660714;397.446429;0.003784295175023652;0.00795783220435194;0.022048925487228005;0.06016218414380322
ES_Z;USD;USD;E-Mini S&P 500 December;2;0.01;0.25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;20700.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;2910.09403;6663.5;6663.75;Indexes;Utilities - Regulated Electric;53.107143;146.892857;400.892857;0.0037516413430876004;0.00796955813168261;0.022043572613018193;0.06016024865878822
GC_Z;USD;USD;Gold December;1;0.1;0.1999999999998181;0.1;10.0;1.0;4;2;1.0;20.0;1.0;19800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;3598.476968;3695.5;3695.7;Commodities;Undefined;48.071429;114.335714;235.635714;0.005411694672181673;0.01300739481018481;0.030937498714722515;0.06375942690153422
HE_V;USD;USD;Lean Hogs October;3;0.001;0.05000000000001137;0.025;10.0;1.0;4;2;1.0;20.0;1.0;3600.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 ;616.906731;97.35;97.4;Utilities;Utilities - Diversified;1.453571;3.223214;5.864286;0.05133470225873857;0.014923726899383982;0.03309254620123203;0.0602082751540041
HG_Z;USD;USD;Copper December;4;0.0001;0.0015000000000000568;0.0005;12.5;1.0;4;2;1.0;20.0;1.0;11100.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1501.064787;4.615;4.6165;Commodities;Commodities - Precious;0.066071;0.333143;0.641786;0.03249214773096625;0.014311924618217264;0.07216354381024585;0.1390200368244341
HO_V;USD;USD;Heating Oil October;4;0.0001;0.0006999999999997009;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;21400.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2617.696706;2.345;2.3457;Commodities;Undefined;0.057057;0.180236;0.26365;0.02984183825722389;0.02432408236347359;0.07683676514473292;0.11239715223600631
KE_Z;USD;USD;Hard Red Wheat December;2;0.01;0.5;0.25;12.5;1.0;4;2;1.0;20.0;1.0;2500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;446.134565;516.25;516.75;Commodities;Commodities - Agricultural;9.178571;24.803571;61.0;0.09675858732462506;0.01776211127237542;0.047999169811320755;0.11804547653604257
LE_V;USD;USD;Live Cattle October;3;0.001;0.04999999999998295;0.025;10.0;1.0;4;2;1.0;20.0;1.0;3800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 ;1564.613904;231.4;231.45;Commodities;Commodities - Agricultural;3.648214;7.435714;12.869643;0.021602937999560576;0.01576242817023115;0.03212665370490387;0.05560441996111471
NG_V;USD;USD;Natural Gas October;3;0.001;0.001000000000000334;0.001;10.0;1.0;4;2;1.0;20.0;1.0;4900.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1072.765172;3.074;3.075;Commodities;Commodities - Energy;0.140214;0.348714;0.990143;0.03252032520326289;0.0455980487804878;0.1134029268292683;0.3219977235772358
NG_X;USD;USD;Natural Gas November;3;0.001;0.002000000000000224;0.001;10.0;1.0;4;2;1.0;20.0;1.0;6200.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1057.563921;3.335;3.337;Commodities;Commodities - Energy;0.131714;0.376857;1.081214;0.05993407252023445;0.03947078213964639;0.11293287383877734;0.3240077914294276
NQ_U;USD;USD;E-mini Nasdaq 100 September;2;0.01;1.0;0.25;5.0;1.0;3;2;1.0;20.0;1.0;30830.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;5287.206197;24241.25;24242.25;Indexes;Undefined;262.767857;666.196429;1901.375;0.004125029648650599;0.01083925200837381;0.02748080021450154;0.07843228248203034
NQ_Z;USD;USD;E-mini Nasdaq 100 December;2;0.01;0.75;0.25;5.0;1.0;4;2;1.0;20.0;1.0;24000.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;5372.74198;24484.75;24485.5;Indexes;Undefined;265.982143;672.642857;1920.089286;0.003063037307794409;0.0108628430295481;0.02747106887749893;0.07841740156419105
PL_F;USD;USD;Platinum January;1;0.1;0.5;0.1;5.0;1.0;4;2;1.0;20.0;1.0;7200.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1943.814718;1385.4;1385.9;Commodities;Commodities - Precious;43.964286;109.071429;144.021429;0.03607763907929865;0.03172255285374125;0.07870079298650695;0.10391906270293672
PL_V;USD;USD;Platinum October;1;0.1;0.40000000000009095;0.1;5.0;1.0;4;2;1.0;20.0;1.0;5360.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1924.817173;1367.3;1367.7;Commodities;Commodities - Precious;44.085714;108.021429;142.7;0.029246179717781012;0.032233467865760035;0.07898035314762009;0.10433574614316003
RB_V;USD;USD;RBOB Gasoline October;4;0.0001;0.000500000000000167;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;17800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1843.795628;2.0248;2.0253;Commodities;Undefined;0.045993;0.115014;0.207386;0.02468770058757552;0.02270922826247963;0.056788623907569245;0.10239766948106452
RTY_U;USD;USD;E-Mini Rusell 2000 Index September;1;0.1;0.29999999999972715;0.1;5.0;1.0;3;2;1.0;20.0;1.0;8700.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;2171.850287;2409.8;2410.1;Indexes;Undefined;30.928571;93.25;229.892857;0.012447616281470775;0.0128328994647525;0.03869134060827352;0.09538726899298784
RTY_Z;USD;USD;E-Mini Rusell 2000 Index December;1;0.1;0.20000000000027285;0.1;5.0;1.0;4;2;1.0;20.0;1.0;7500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;2185.379986;2427.2;2427.4;Indexes;Undefined;31.314286;94.028571;231.657143;0.008239268352981496;0.012900340281782977;0.03873633146576584;0.09543426835297025
SI_Z;USD;USD;Silver December;3;0.001;0.005000000000002558;0.005;25.0;1.0;4;2;1.0;20.0;1.0;23500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;3885.425492;41.945;41.95;Commodities;Commodities - Precious;0.957857;1.9325;4.190357;0.011918951132306455;0.022833301549463645;0.04606674612634088;0.09988932061978545
YM_U;USD;USD;E-Mini DJIA September;0;1.0;4.0;1.0;5.0;1.0;3;2;1.0;20.0;1.0;12060.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;2524.789657;46035.0;46039.0;Indexes;Undefined;383.5;1091.285714;2714.214286;0.008688286018375724;0.008329894220117727;0.023703506027498426;0.058954675079823625
YM_Z;USD;USD;E-Mini DJIA December;0;1.0;2.0;1.0;5.0;1.0;4;2;1.0;20.0;1.0;13800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;2542.063012;46382.0;46384.0;Indexes;Undefined;386.214286;1097.857143;2733.428571;0.004311831666091756;0.00832645494135909;0.023668875970162123;0.058930419347188685
ZC_Z;USD;USD;Corn December;2;0.01;0.25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;1300.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;383.823462;426.75;427.0;Commodities;Undefined;7.0;17.803571;40.017857;0.0585480093676815;0.01639344262295082;0.04169454566744731;0.09371863466042155
ZL_Z;USD;USD;Soybean Oil December;2;0.01;0.020000000000003126;0.01;6.0;1.0;4;2;1.0;20.0;1.0;3200.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;568.895369;51.8;51.82;Commodities;Undefined;0.994286;2.630714;5.132143;0.038595137012742434;0.01918730219992281;0.05076638363566191;0.099037881126978
ZM_Z;USD;USD;Soybean Meal December;1;0.1;0.10000000000002274;0.1;10.0;1.0;4;2;1.0;20.0;1.0;2000.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;414.834176;285.5;285.6;Commodities;Commodities - Agricultural;4.007143;10.021429;30.257143;0.035014005602248856;0.014030612745098038;0.035089037114845935;0.10594237745098038
ZN_Z;USD;USD;10Y US Treasury Note December;6;1e-06;0.015625;0.015625;15.625;1.0;4;2;1.0;20.0;1.0;2700.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;443.282942;113.1875;113.203125;Financial;Undefined;0.434152;1.043527;2.909598;0.013802622498274674;0.003835159144237405;0.009218181918564529;0.025702453002070393
ZS_X;USD;USD;Soybeans November;2;0.01;0.25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;2800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;663.309567;1043.75;1044.0;Commodities;Commodities - Agricultural;12.142857;35.607143;77.125;0.023946360153256702;0.01163108908045977;0.034106458812260536;0.07387452107279693
FDAX_U;EUR;EUR;DAX Index September;0;1.0;4.0;1.0;25.0;1.0;3;2;1.0;20.0;1.0;28400.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 ;6425.333812;23388.0;23392.0;Indexes;Undefined;272.142857;706.928571;1515.714286;0.01709986320109439;0.011634014064637483;0.03022095464261286;0.06479626735636114
FDAX_Z;EUR;EUR;DAX Index December;0;1.0;6.0;1.0;25.0;1.0;4;2;1.0;20.0;1.0;35000.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 ;6442.760643;23524.0;23530.0;Indexes;Undefined;276.857143;711.857143;1523.857143;0.0254993625159371;0.011766134424139396;0.030253172248193794;0.064762309519762
FESX_U;EUR;EUR;Euro Stoxx 50 September;0;1.0;2.0;1.0;10.0;1.0;3;2;1.0;20.0;1.0;2700.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 ;521.892174;5376.0;5378.0;Indexes;Undefined;54.714286;150.571429;369.5;0.03718854592785422;0.010173723689103756;0.027997662513945705;0.06870583860171067
FESX_Z;EUR;EUR;Euro Stoxx 50 December;0;1.0;1.0;1.0;10.0;1.0;4;2;1.0;20.0;1.0;3000.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 ;523.957656;5386.0;5387.0;Indexes;Undefined;57.5;150.857143;369.928571;0.018563207722294413;0.010673844440319288;0.028003924819008725;0.06867060905884537
FGBL_Z;EUR;EUR;Bund December;2;0.01;0.009999999999990905;0.01;10.0;1.0;4;2;1.0;20.0;1.0;2600.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 ;456.645134;128.8;128.81;Indexes;Undefined;0.476429;1.227857;3.345714;0.007763372408967398;0.003698695753435292;0.009532311155966151;0.025974023755919572
